ㅇ벗어 없어
가봉가 가보다
가욤 가요
가태 같아
갈칩 갈치입
개새기 개새끼
개쉑 개새끼
갠찮 괜찮
거라두 거라도
걸로 것으로
것니 겠니
것다 겠다
겄넹 겠네
겄서 겠어
겄어 겠어
게용 게요
겐니 겠니
겟씀다 겠습니다
겟씀댜 겠습니다
겠당 겠다
겠제 겠지
겨론해 결혼해
괜차나여 괜찮나요
귀여버 귀여워
귀요운 귀여운
그래두 그래도
그래여 그래요
그래욤 그래요
그랫어요 그랬어요
그러시져 그러시죠
그로묜 그러면
그지같 거지같
그쵸 그렇죠
글애요 그래요
글여야 그려야
글케 그렇게
기여어 귀여워
기여운 귀여운
기여워 귀여워
깜빵 감방
나오닉가능요 나오니까는요
나욤 나요
내꺼시 내것이
내새낑 내새끼
냑오 냐고
넘흐 너무
누굽니 누구입니
누뀜뾰 느낌표
눈데 는데
눙물 눈물
늑겨저 느껴져
능겓 는데
니깢 니까
니당 니다
다규 다고
다먼 다면
다쳣다 다쳤다
댓가 대가
댜규 다고
더웤 더워
더이뿐 더예쁜
더쿠 덕후
뎌롭 더럽
도랏나 돌았나
도른 돌은
도름 돌음
됏 됐
됏당 되었다
드가서 들어가서
드레기 쓰레기
따구로 따위로
라구요 라고요
라는건 라는것은
라능 라는
라부라부 러브러브
랐엉 랐어
랬수유 랬어요
러웡 러워
런건 런것은
렷다 렸다
렸돠 렸다
리트위 리트윗
마시쪙 맛있어
마싰억 맛있어
만듀 만두
머굼 먹음
머금 먹음
머싯써 멋있어
머였 뭐였
머였지 뭐였지
머하지 뭐하지
머한 뭐한
먼가 무엇인가
무얼 무엇을
뭔지 무엇인지
뭥미 뭐임
미쳣나 미쳤나
미쿡 미국
바껭서 밖에서
뱅드 밴드
버렷 버려
봐야징 봐야지
빠수니 빠순이
빠운스 바운스
빠이팅 파이팅
뿌닙 뿐입
산께이 산케이
샤릉해 사랑해
세욧 세요
세용 세요
셧습 셨습
셧어요 셨어요
소린지 소리인지
수럽고 스럽고
쉬먀 세요
슈빈다 습니다
스빈다 습니다
슴니 습니
슴다 습니다
슴당 습니다
싀벌 씨발
시덩가 시든가
싫엇 싫었
십알 씨발
싳어 싶어
싶댱 싶다
싶어씀 싶었음
싸라애 사랑해
씨벌 시발
씨벌탱 시발탱
아라써 알았어
아자씨 아저씨
아저찌 아저씨
아텍 어택
안나뷰 알러뷰
안니죠 아니죠
안대여 안되요
알고이찌 알고있지
알튀 알티
암것 아무것
얘두라 얘들아
어느샌 어느새인
어딘지 어디인지
어떡하 어떻게하
어떡해 어떻게해
어뜨케 어떻게
어자피 어차피
어쩔슈없 어쩔수없
어카나 어떻게하나
어카냐 어떻게하냐
어캄 어떻게함
어케 어떻게
업서용 없어요
엇겟 었겠
엇으 었으
여깄습 여기있습
열씸 열심
였당 였다
였슴돠 였습니다
예뿌 예뻐
예뿌게 예쁘게
오나전 완전
오모오모 어머어머
올굴 얼굴
왕댜 왕자
왜케 왜이렇게
왠만한 웬만한
왤케 왜이렇게
요깄 여기있
요놈 이놈
요뎡 요정
욜심히 열심히
우래기 우리애기
우런니 우리언니
우짜 어떻게하
우째 어떻게해
워찌 어떻게
웟 웠
은차니 은찬이
이거시 이것이
이건 이것은
이러케 이렇게
이르케 이렇게
이뿌다 예쁘다
이뿌당 예쁘다
이뿌자나 예쁘잖아
이써여 있어요
이써요 있어요
이씀 있습
이씁 있습
이욤 이요
임까 입니까
임미다 입니다
잇구용 있고요
잇긔 있기
잇엇 있었
잇으니깡 있으니까
잇지만 있지만
있읍 있습
재밋 재밌
잼섯 재미있었
쟈나 잖아
쟝 장
저걸루 저것으로
저깄습 저기있습
저어기 저기
젭라 제발
졋어 졌어
조아조아 좋아좋아
조아하 좋아하
조아해 좋아해
조케따 좋겠다
조켔 좋겠
좋겟어 좋겠어
좋댓어 좋다고했어
죠아 좋아
죠아하능 좋아하는
죠음 좋음
주거써 죽었어
주그지마 죽지마
주세영 주세요
줫 줬
쥬글 죽을
쥬륵쥬륵 주륵주륵
쥬세 주세
쥬신 주신
즤 지
지말궁 지말고
지욤 지요
쩌러 쩔어
쪼꼼 조금
쪼나루 좋은하루
쪼나침 좋은아침
첨부터 처음부터
첨에 처음에
쳣다규 쳤다고
쳣어 쳤어
친굽 친구입
하구요 하고요
하눙 하는
하라구 하라고
하비다 합니다
하세영 하세요
하셧슴돠 하셨습니다
하셧어 하셨어
하쟈나 하잖아
한건데 한것인데
한당 한다
할부지 할아버지
할이버지 할아버지
할쟉 할짝
함당 합니다
항가항가 하악하악
해꾸랴 했구랴
해써 했어
해욤 해요
햇쑴니 했습니
햇어 했어
했써 했어
했써용 했어요
했엉 했어
혼나규 혼나고
히매셈 힘내세요
힐고같아 힐것같아
힘내숑 힘내세요
힘냉 힘내
힘듬 힘듦
힘쌔고 힘세고
